LED,Header pin,Black,AI,AI-64 
/sys/class/leds/led_P8_03 ,P8_03,gpio1_6,gpio1_24,gpio0_20 
/sys/class/leds/led_P8_04 ,P8_04,gpio1_7,gpio1_25,gpio0_48 
/sys/class/leds/led_P8_05 ,P8_05,gpio1_2,gpio7_1,gpio0_33 
/sys/class/leds/led_P8_06 ,P8_06,gpio1_3,gpio7_2,gpio0_34 
/sys/class/leds/led_P8_07 ,P8_07,gpio2_2,gpio6_5,gpio0_15 
/sys/class/leds/led_P8_08 ,P8_08,gpio2_3,gpio6_6,gpio0_14 
/sys/class/leds/led_P8_09 ,P8_09,gpio2_5,gpio6_18,gpio0_17 
/sys/class/leds/led_P8_10 ,P8_10,gpio2_4,gpio6_4,gpio0_16 
/sys/class/leds/led_P8_11 ,P8_11,gpio1_13,gpio3_11,gpio0_60 
/sys/class/leds/led_P8_12 ,P8_12,gpio1_12,gpio3_10,gpio0_59 
/sys/class/leds/led_P8_13 ,P8_13,gpio0_23,gpio4_11,gpio0_89 
/sys/class/leds/led_P8_14 ,P8_14,gpio0_26,gpio4_13,gpio0_75 
/sys/class/leds/led_P8_15 ,P8_15,gpio1_15,gpio4_3,gpio0_61 
/sys/class/leds/led_P8_16 ,P8_16,gpio1_14,gpio4_29,gpio0_62 
/sys/class/leds/led_P8_17 ,P8_17,gpio0_27,gpio8_18,gpio0_3 
/sys/class/leds/led_P8_18 ,P8_18,gpio2_1,gpio4_9,gpio0_4 
/sys/class/leds/led_P8_19 ,P8_19,gpio0_22,gpio4_10,gpio0_88 
/sys/class/leds/led_P8_20 ,P8_20,gpio1_31,gpio6_30,gpio0_76 
/sys/class/leds/led_P8_21 ,P8_21,gpio1_30,gpio6_29,gpio0_30 
/sys/class/leds/led_P8_22 ,P8_22,gpio1_5,gpio1_23,gpio0_5 
/sys/class/leds/led_P8_23 ,P8_23,gpio1_4,gpio1_22,gpio0_31 
/sys/class/leds/led_P8_24 ,P8_24,gpio1_1,gpio7_0,gpio0_6 
/sys/class/leds/led_P8_25 ,P8_25,gpio1_0,gpio6_31,gpio0_35 
/sys/class/leds/led_P8_26 ,P8_26,gpio1_29,gpio4_28,gpio0_51 
/sys/class/leds/led_P8_27 ,P8_27,gpio2_22,gpio4_23,gpio0_71 
/sys/class/leds/led_P8_28 ,P8_28,gpio2_24,gpio4_19,gpio0_72 
/sys/class/leds/led_P8_29 ,P8_29,gpio2_23,gpio4_22,gpio0_73 
